x,a,b,c,d,e,f,g,h
50,1.213659122,1.852808439,3.003431095,4.74373466,6.854045421,11.123664,28.82651815,0.3263840754
100,1.451504008,2.274181756,3.842625078,6.251910609,6.552065432,9.606662172,24.32353809,0.3961141503
150,1.721246051,2.77333984,4.87232933,6.531174037,6.568316396,8.796267829,21.78973325,0.4637312909
200,2.022564334,3.373354791,5.76515439,6.435729853,6.534683173,8.248702521,19.81009086,0.528703566
250,2.368193118,4.081573691,6.283614652,6.487876865,6.429601281,7.831927034,18.34931117,0.5919894444
300,2.759226396,4.888782653,6.314809802,6.236268808,6.464960061,7.462922601,17.09016208,0.6534738031
350,3.206875688,5.620398204,6.436755304,6.359870055,6.229845468,7.098681969,16.06885384,0.7134889864
400,3.684163441,6.055492631,6.208277837,5.834100273,6.020905403,6.7927458,15.18279769,0.7718101539
450,4.187788011,6.318006883,5.965494171,5.333278136,5.579753501,6.464052671,14.37463092,0.8254319688
500,4.628750829,6.304767188,5.634709652,4.943328781,5.284545577,6.093093222,13.68155827,0.8733063759
550,4.932224668,6.016903018,5.292591014,4.653062094,4.845352994,5.709627168,13.031851,0.9164371133
600,5.119586045,6.03084037,4.843103523,4.170412177,4.36063786,5.409539176,12.45623985,0.951869845
650,5.109838955,5.923646393,4.297868303,3.70360249,4.035800492,5.135505285,11.91849169,0.9833040453
700,5.066688278,5.629957691,3.931671962,3.430815979,3.72992042,4.89758532,11.47488302,1.011496307
750,4.922020182,5.493801537,3.643241572,3.300585938,3.557082383,4.712096172,11.06987558,1.0368174
800,4.760318019,5.268074264,3.505882828,3.245018192,3.471844514,4.5426049,10.68212961,1.063537319
850,4.496970603,4.906475945,3.390022581,3.223283951,3.375238661,4.395965048,10.32518478,1.08865673
900,4.242348467,4.53411222,3.314738971,3.210117595,3.305392741,4.259503336,9.993539567,1.114609774
950,4.028719756,4.279778456,3.242820951,3.197436849,3.253011412,4.128900239,9.661868381,1.140781585
1000,3.882906098,4.00381541,3.207476524,3.191346901,3.211125525,4.020096078,9.359530184,1.168471895
1050,3.736876195,3.778429945,3.163052546,3.169479561,3.210926919,3.931873343,9.06006158,1.199471108
1100,3.624925938,3.652608822,3.126134422,3.162183052,3.166472111,3.843108215,8.76860514,1.233945861
1150,3.543994882,3.565033971,3.12541824,3.129130943,3.127318075,3.765274834,8.498532767,1.266491098
1200,3.482935511,3.493586926,3.114111122,3.067626848,3.133834707,3.690139959,8.250537471,1.302453836
1250,3.433485655,3.420279438,3.101259071,3.082279835,3.138361028,3.604012666,8.02439868,1.339016197
1300,3.388944154,3.347972608,3.083661757,3.079679029,3.144049875,3.540937245,7.809077318,1.379260523
1350,3.356384929,3.318210504,3.105620256,3.12113987,3.104013844,3.479921363,7.571609831,1.42293989
1400,3.332613152,3.295515963,3.071147428,3.101166918,3.092536326,3.430358006,7.342170887,1.466932334
1450,3.307679038,3.282671402,3.032529001,3.107354468,3.117191011,3.409089266,7.149242499,1.508867245
1500,3.278174162,3.240984309,3.061285291,3.087367206,3.091149406,3.378626968,6.94705561,1.554866275
1550,3.257178872,3.226816511,3.090624936,3.125549266,3.136419777,3.346570897,6.768709569,1.600562024
1600,3.2506189,3.217061272,3.095524409,3.164433066,3.152113453,3.330406112,6.601519877,1.651183383
1650,3.235018958,3.207955279,3.074571462,3.121003006,3.16754714,3.302323874,6.439212601,1.702049796
1700,3.222138742,3.196228216,3.082640678,3.170928388,3.151621762,3.271779754,6.268462058,1.750740143
1750,3.224943149,3.178350355,3.087902587,3.138894846,3.116106147,3.257003082,6.117208891,1.798909454
1800,3.222155504,3.166883769,3.105995022,3.132542667,3.106706241,3.233794482,5.978693931,1.855348366
1850,3.214648676,3.179733731,3.011495518,3.112017434,3.101908848,3.210109937,5.83131768,1.910848457
1900,3.193280345,3.163401924,3.024516773,3.078810694,3.072966955,3.208257429,5.694654089,1.965718435
1950,3.194724622,3.157025037,3.068329989,3.135402713,3.074898193,3.201790006,5.55269365,2.02534245
2000,3.164023937,3.151915697,3.086127003,3.054008195,3.02692916,3.191159781,5.40424648,2.085350971
2050,3.154994502,3.141960558,3.107793607,3.081192493,3.04300142,3.186609156,5.262344495,2.146143552
2100,3.170617371,3.167201764,3.100169826,3.098746423,3.096699684,3.159756829,5.142684441,2.208569885
2150,3.162201517,3.159652728,3.104871823,3.156142409,3.133250138,3.156753698,5.032481009,2.267158885
2200,3.154465488,3.127600272,3.098827765,3.136582551,3.097182246,,4.93039185,2.325833899
2250,,3.158281828,3.125162713,3.186198969,3.102488961,,4.832570888,2.375090326
2300,,3.156936109,3.089377376,3.162544128,3.14678091,,4.735232202,2.418228322
