Step,Segmentation Loss,Segmentation Task Weight,Segmentation Variance,Depth loss,Depth Task Weight,,Instance Loss,Instance Task Weight,
100,0.919841588,0.643909574,1.903909823,20.68607712,3.748146772,42.44235373,72.8425598,4.530707359,92.82419793
200,0.283336043,0.285549492,1.330492922,21.90711212,3.098352194,22.16140348,48.8841476,4.413579464,82.56447175
300,0.307800919,-0.03729482,0.963392066,8.269561768,2.782833099,16.16475249,41.74757,4.39258337,80.84901236
400,0.333290964,-0.252235681,0.777061578,9.952135086,2.660057068,14.29710498,42.8715935,4.332167149,76.10904759
500,0.219589069,-0.51699543,0.596309513,7.307171345,2.603099823,13.50553799,23.5119915,4.135654449,62.53050073
600,0.164759487,-0.65394491,0.51999041,7.178956032,2.569410086,13.058119,34.0105553,4.071902752,58.66848803
700,0.251795828,-0.72095114,0.486289507,21.96077347,2.503810406,12.22900276,63.3419342,4.123479843,61.77383192
800,0.334803313,-0.721718371,0.485916553,11.52797508,2.525053024,12.4915576,37.1159515,4.161607265,64.17458535
900,0.205540881,-0.797292113,0.450547345,10.81842899,2.496958494,12.14549713,78.9785843,4.106725693,60.74748564
1000,0.227951333,-0.874874353,0.4169144,17.23697281,2.414865017,11.18826003,45.315403,4.197448254,66.51638136
1100,0.171679303,-0.928147316,0.395285371,7.790315628,2.400257587,11.02601618,20.4544868,4.019416809,55.66863092
1200,0.083933458,-1.013810396,0.362833802,4.901451588,2.366107225,10.65583069,28.8541946,4.090321064,59.75907511
1300,0.201625615,-0.981039464,0.374921179,8.205449104,2.33735466,10.35381095,81.1544342,3.961227417,52.52175249
1400,0.217522338,-1.100530982,0.332694382,6.918895721,2.247300625,9.462159414,53.7281914,3.945853233,51.7204489
1500,0.223706692,-1.075531125,0.341116532,6.647209644,2.333871126,10.31780585,45.2783661,4.001894474,54.70168285
1600,0.153028294,-1.071963906,0.342335542,5.986728668,2.270796299,9.687111581,26.6297607,4.073563576,58.76600702
1700,0.118696645,-1.125377655,0.324529884,4.606359005,2.249711514,9.484999148,16.0718555,3.945454121,51.69981073
1800,0.121820994,-1.110821486,0.329288344,5.334745884,2.275055885,9.728462676,19.4388885,4.009537697,55.12138188
1900,0.138954863,-1.210327506,0.298099634,13.29560852,2.279174089,9.768609079,68.1034241,3.934724331,51.14804808
2000,0.193669349,-1.203528762,0.300133242,6.500441074,2.207285881,9.091008799,32.1399765,3.974524736,53.22481508
2100,0.135926455,-1.218348145,0.295718247,8.738762856,2.14740777,8.56263329,28.2342033,3.885028839,48.66834599
2200,0.098419406,-1.22821784,0.292813954,5.294076443,2.217977285,9.188725886,28.9991264,3.921789885,50.49073654
2300,0.137776002,-1.25334096,0.285549193,5.400608063,2.224841833,9.252019325,26.0527172,4.000230789,54.61075215
2400,0.115043148,-1.243239284,0.288448337,6.192691803,2.214940786,9.160866647,25.4872074,3.966837645,52.81723958
2500,0.134740889,-1.326426864,0.265423965,5.602507114,2.182995081,8.87284138,48.3470421,3.88505888,48.66980805
2600,0.137891158,-1.286646128,0.276195556,4.478895187,2.164119005,8.706927779,23.8182487,3.970758915,53.02475685
2700,0.184905156,-1.338968396,0.262115929,6.289051533,2.180266142,8.848660945,23.7344875,3.860213518,47.47548716
2800,0.136271521,-1.369167686,0.254318544,5.987504959,2.188121319,8.918442456,24.4010067,3.886873007,48.75818139
2900,0.169932127,-1.361348152,0.256314992,7.201521397,2.168980122,8.74935621,72.7721863,4.026299,56.05307444
3000,0.170388982,-1.338971019,0.262115242,6.457169056,2.123111248,8.357098087,22.9095173,3.890642643,48.94232886
3100,0.07740026,-1.296272278,0.273549612,11.95306206,2.179187059,8.83911766,35.4936829,3.855006218,47.22891061
3200,0.145842865,-1.340103984,0.261818442,4.495284557,2.125459194,8.376743157,22.7652149,3.959746361,52.4440224
3300,0.128420636,-1.331074953,0.264193113,6.266738892,2.083535433,8.03281826,25.9370708,3.903521061,49.57670474
3400,0.125796184,-1.322889686,0.266364479,8.245081902,2.152103186,8.602932949,36.2718353,3.948097467,51.83665204
3500,0.252265036,-1.382134795,0.251042057,6.320265293,2.14215827,8.517801519,35.8637199,3.905176878,49.65886269
3600,0.28108117,-1.39161706,0.24867286,11.13521862,2.080397367,8.007650262,30.2958164,3.781158447,43.86682972
3700,0.098322682,-1.362351179,0.25605803,5.949195862,2.117072105,8.30678047,24.2513752,3.941855669,51.51410579
3800,0.106488883,-1.392906308,0.248352466,5.016944885,2.039647579,7.687899346,24.0929108,3.919373989,50.36890342
3900,0.092339106,-1.34910953,0.259471209,4.756526947,2.098454475,8.153558644,20.5207329,3.851482153,47.06276578
4000,0.107503012,-1.3561759,0.257644153,5.644300938,2.128207207,8.39979421,70.617363,3.866008759,47.7514178
4100,0.173067719,-1.474995017,0.228779867,4.809437275,2.089817762,8.083441923,28.2953262,3.938368559,51.33478327
4200,0.084429286,-1.434118032,0.238325467,5.594041348,2.063647985,7.874644064,19.0500488,3.907444239,49.77158499
4300,0.072250322,-1.403311849,0.245781623,5.97180748,2.06183362,7.860369536,34.0536499,3.855573177,47.25569507
4400,0.07507126,-1.437457323,0.237530956,6.091831684,2.067847967,7.907786976,30.991724,3.907008886,49.74992153
4500,0.095807113,-1.471519351,0.229576413,4.859231472,2.047984362,7.752259596,23.7617855,3.783566713,43.97260003
4600,0.114186406,-1.400965929,0.246358884,6.447948456,2.067443848,7.904591931,24.9538822,3.90175128,49.48904242
4700,0.112725638,-1.482251048,0.227125841,4.865472794,2.053465366,7.794866425,30.7503548,3.828896761,46.01174826
4800,0.077827327,-1.454408765,0.233538399,4.313169479,2.061856031,7.860545699,25.6461315,3.813879728,45.32595055
4900,0.102212287,-1.498392344,0.223489165,4.327189922,2.059960127,7.845656973,14.6291866,3.805946112,44.96777453
5000,0.100607224,-1.499941945,0.223143114,5.192034721,2.057826519,7.828935263,32.3849907,3.795891285,44.51789686
5100,0.093688734,-1.517434716,0.219273665,5.251374245,2.048514605,7.756371267,24.6878662,3.7827847,43.93822633
5200,0.075451553,-1.504073024,0.222223194,3.760982513,2.000311613,7.391358984,7.83289671,3.795897484,44.51817282
5300,0.076981992,-1.484300375,0.226660863,5.74730444,2.012229204,7.479973163,14.757061,3.811447859,45.21585767
5400,0.107916504,-1.510048985,0.220899157,3.906310081,1.992848396,7.336401007,24.3895473,3.804446936,44.90041043
5500,0.135045826,-1.535190105,0.215414736,3.651384592,1.989365816,7.31089584,33.2445412,3.820234299,45.61489458
5600,0.055352882,-1.545797467,0.21314183,4.135521889,2.037090063,7.668262541,12.4503326,3.883082151,48.57369608
5700,0.139567584,-1.479245782,0.227809442,3.746313334,1.984592915,7.276084794,21.3343201,3.848330259,46.91466248
5800,0.079919249,-1.520197749,0.218668641,11.52065754,2.023820162,7.567177631,39.5790482,3.799974203,44.70003136
5900,0.061984658,-1.523178816,0.218017746,5.498921871,2.024766922,7.574345326,37.8957062,3.866302013,47.76542318
6000,0.098365866,-1.523708701,0.217902252,3.952470779,2.005880356,7.43263438,14.7178125,3.843499422,46.68857192
6100,0.088063195,-1.545035958,0.213304201,3.929483891,1.992882133,7.336648513,23.1919613,3.819273233,45.57107675
6200,0.092546001,-1.615474105,0.198796398,4.16435957,2.002043724,7.404172733,21.6721992,3.855472803,47.25095206
6300,0.088148877,-1.564150095,0.209265794,4.657809258,1.924312353,6.850436365,13.2562914,3.726727962,41.54295543
